,bigram,count
0,"('GotoLocation', '')",278801
1,"('GotoLocation', 'turn')",266773
2,"('GotoLocation', 'right')",151540
3,"('GotoLocation', 'left')",148825
4,"('PickupObject', '')",121033
5,"('PickupObject', 'turn')",118018
6,"('GotoLocation', 'walk')",108632
7,"('GotoLocation', 'put')",106834
8,"('GotoLocation', 'pick')",102002
9,"('PutObject', '')",101174
10,"('PutObject', 'turn')",96328
11,"('GotoLocation', 'around')",82130
12,"('GotoLocation', 'go')",81218
13,"('GotoLocation', 'place')",76082
14,"('PickupObject', 'right')",68194
15,"('PickupObject', 'left')",66748
16,"('GotoLocation', 'counter')",65791
17,"('GotoLocation', 'face')",61057
18,"('GotoLocation', 'table')",59820
19,"('GotoLocation', 'slice')",59775
20,"('PutObject', 'right')",58122
21,"('PutObject', 'left')",56796
22,"('GotoLocation', 'knife')",55187
23,"('GotoLocation', 'sink')",49350
24,"('PickupObject', 'walk')",49127
25,"('PickupObject', 'put')",48161
26,"('PickupObject', 'pick')",47929
27,"('GotoLocation', 'table.')",45549
28,"('GotoLocation', 'move')",44523
29,"('GotoLocation', 'sink.')",43680
30,"('PutObject', 'put')",42735
31,"('GotoLocation', 'take')",42437
32,"('PutObject', 'pick')",40828
33,"('PutObject', 'walk')",40593
34,"('GotoLocation', 'microwave')",38866
35,"('GotoLocation', 'fridge')",36910
36,"('PickupObject', 'around')",36441
37,"('PickupObject', 'go')",35226
38,"('PickupObject', 'place')",34445
39,"('GotoLocation', 'back')",34436
40,"('GotoLocation', 'counter.')",33581
41,"('GotoLocation', 'front')",32800
42,"('GotoLocation', 'forward')",31976
43,"('PutObject', 'around')",30944
44,"('GotoLocation', 'apple')",30740
45,"('PutObject', 'place')",30682
46,"('GotoLocation', 'open')",30522
47,"('PutObject', 'go')",30082
48,"('GotoLocation', 'tomato')",29762
49,"('GotoLocation', 'potato')",29747
50,"('PickupObject', 'table')",28399
51,"('PickupObject', 'counter')",28225
52,"('PickupObject', 'face')",26992
53,"('PutObject', 'counter')",25194
54,"('GotoLocation', 'close')",24947
55,"('GotoLocation', 'towards')",24747
56,"('GotoLocation', 'side')",24670
57,"('PickupObject', 'knife')",24524
58,"('PutObject', 'table')",24319
59,"('PickupObject', 'slice')",24060
60,"('GotoLocation', 'bread')",23311
61,"('PutObject', 'face')",23061
62,"('GotoLocation', 'coffee')",22531
63,"('GotoLocation', 'fridge.')",21869
64,"('PickupObject', 'table.')",21820
65,"('PutObject', 'knife')",21709
66,"('GotoLocation', 'top')",21243
67,"('PickupObject', 'sink')",20795
68,"('PutObject', 'slice')",20679
69,"('GotoLocation', 'microwave.')",20618
70,"('PickupObject', 'move')",20554
71,"('GotoLocation', 'lettuce')",20442
72,"('GotoLocation', 'inside')",20253
73,"('GotoLocation', 'room')",20157
74,"('SliceObject', '')",19802
75,"('GotoLocation', 'white')",19447
76,"('GotoLocation', 'door')",19261
77,"('PutObject', 'table.')",18953
78,"('PickupObject', 'sink.')",18716
79,"('PutObject', 'sink')",18290
80,"('GotoLocation', 'cabinet')",18211
81,"('PutObject', 'move')",17857
82,"('PickupObject', 'take')",17813
83,"('SliceObject', 'turn')",17217
84,"('GotoLocation', 'head')",16971
85,"('GotoLocation', 'pan')",16531
86,"('PutObject', 'sink.')",16438
87,"('GotoLocation', 'toilet')",16390
88,"('GotoLocation', 'black')",16215
89,"('GotoLocation', 'two')",16141
90,"('GotoLocation', 'kitchen')",16128
91,"('GotoLocation', 'shelf')",15947
92,"('PutObject', 'take')",14864
93,"('PickupObject', 'front')",14842
94,"('HeatObject', '')",14736
95,"('PickupObject', 'back')",14671
96,"('CoolObject', '')",14580
97,"('PickupObject', 'fridge')",14487
98,"('PickupObject', 'microwave')",14463
99,"('PickupObject', 'counter.')",14423
