,bigram,count
0,"('GotoLocation', '')",278801
1,"('GotoLocation', 'turn')",266773
2,"('GotoLocation', 'right')",151540
3,"('GotoLocation', 'left')",148825
4,"('PickupObject', '')",121033
5,"('PickupObject', 'turn')",118018
6,"('GotoLocation', 'walk')",108632
7,"('GotoLocation', 'put')",106834
8,"('GotoLocation', 'pick')",102002
9,"('PutObject', '')",101174
10,"('PutObject', 'turn')",96328
11,"('GotoLocation', 'around')",82130
12,"('GotoLocation', 'go')",81218
13,"('GotoLocation', 'place')",76082
14,"('PickupObject', 'right')",68194
15,"('PickupObject', 'left')",66748
16,"('GotoLocation', 'counter')",65791
17,"('GotoLocation', 'face')",61057
18,"('GotoLocation', 'table')",59820
19,"('GotoLocation', 'slice')",59775
20,"('PutObject', 'right')",58122
21,"('PutObject', 'left')",56796
22,"('GotoLocation', 'knife')",55187
23,"('GotoLocation', 'sink')",49350
24,"('PickupObject', 'walk')",49127
25,"('PickupObject', 'put')",48161
26,"('PickupObject', 'pick')",47929
27,"('GotoLocation', 'table.')",45549
28,"('GotoLocation', 'move')",44523
29,"('GotoLocation', 'sink.')",43680
30,"('PutObject', 'put')",42735
31,"('GotoLocation', 'take')",42437
32,"('PutObject', 'pick')",40828
33,"('PutObject', 'walk')",40593
34,"('GotoLocation', 'microwave')",38866
35,"('GotoLocation', 'fridge')",36910
36,"('PickupObject', 'around')",36441
37,"('PickupObject', 'go')",35226
38,"('PickupObject', 'place')",34445
39,"('GotoLocation', 'back')",34436
40,"('GotoLocation', 'counter.')",33581
41,"('GotoLocation', 'front')",32800
42,"('GotoLocation', 'forward')",31976
43,"('PutObject', 'around')",30944
44,"('GotoLocation', 'apple')",30740
45,"('PutObject', 'place')",30682
46,"('GotoLocation', 'open')",30522
47,"('PutObject', 'go')",30082
48,"('GotoLocation', 'tomato')",29762
49,"('GotoLocation', 'potato')",29747
50,"('PickupObject', 'table')",28399
51,"('PickupObject', 'counter')",28225
52,"('PickupObject', 'face')",26992
53,"('PutObject', 'counter')",25194
54,"('GotoLocation', 'close')",24947
55,"('GotoLocation', 'towards')",24747
56,"('GotoLocation', 'side')",24670
57,"('PickupObject', 'knife')",24524
58,"('PutObject', 'table')",24319
59,"('PickupObject', 'slice')",24060
60,"('GotoLocation', 'bread')",23311
61,"('PutObject', 'face')",23061
62,"('GotoLocation', 'coffee')",22531
63,"('GotoLocation', 'fridge.')",21869
64,"('PickupObject', 'table.')",21820
65,"('PutObject', 'knife')",21709
66,"('GotoLocation', 'top')",21243
67,"('PickupObject', 'sink')",20795
68,"('PutObject', 'slice')",20679
69,"('GotoLocation', 'microwave.')",20618
70,"('PickupObject', 'move')",20554
71,"('GotoLocation', 'lettuce')",20442
72,"('GotoLocation', 'inside')",20253
73,"('GotoLocation', 'room')",20157
74,"('SliceObject', '')",19802
75,"('GotoLocation', 'white')",19447
76,"('GotoLocation', 'door')",19261
77,"('PutObject', 'table.')",18953
78,"('PickupObject', 'sink.')",18716
79,"('PutObject', 'sink')",18290
80,"('GotoLocation', 'cabinet')",18211
81,"('PutObject', 'move')",17857
82,"('PickupObject', 'take')",17813
83,"('SliceObject', 'turn')",17217
84,"('GotoLocation', 'head')",16971
85,"('GotoLocation', 'pan')",16531
86,"('PutObject', 'sink.')",16438
87,"('GotoLocation', 'toilet')",16390
88,"('GotoLocation', 'black')",16215
89,"('GotoLocation', 'two')",16141
90,"('GotoLocation', 'kitchen')",16128
91,"('GotoLocation', 'shelf')",15947
92,"('PutObject', 'take')",14864
93,"('PickupObject', 'front')",14842
94,"('HeatObject', '')",14736
95,"('PickupObject', 'back')",14671
96,"('CoolObject', '')",14580
97,"('PickupObject', 'fridge')",14487
98,"('PickupObject', 'microwave')",14463
99,"('PickupObject', 'counter.')",14423
100,"('GotoLocation', 'plate')",14270
101,"('GotoLocation', 'across')",14264
102,"('GotoLocation', 'stove')",14141
103,"('PickupObject', 'forward')",14086
104,"('GotoLocation', 'step')",13785
105,"('GotoLocation', 'stove.')",13526
106,"('GotoLocation', 'end')",13522
107,"('PutObject', 'back')",13036
108,"('PutObject', 'front')",12943
109,"('GotoLocation', 'trash')",12896
110,"('PutObject', 'counter.')",12837
111,"('GotoLocation', 'refrigerator')",12794
112,"('GotoLocation', 'right.')",12745
113,"('GotoLocation', 'mug')",12739
114,"('GotoLocation', 'cup')",12693
115,"('GotoLocation', 'bowl')",12624
116,"('GotoLocation', 'soap')",12449
117,"('GotoLocation', 'desk')",12403
118,"('PickupObject', 'apple')",12367
119,"('HeatObject', 'turn')",12352
120,"('PickupObject', 'open')",12341
121,"('PickupObject', 'tomato')",12263
122,"('PutObject', 'fridge')",11907
123,"('PutObject', 'forward')",11849
124,"('GotoLocation', 'next')",11804
125,"('GotoLocation', 'it.')",11796
126,"('GotoLocation', 'left.')",11783
127,"('PutObject', 'microwave')",11762
128,"('PickupObject', 'side')",11748
129,"('PickupObject', 'potato')",11609
130,"('CoolObject', 'turn')",11407
131,"('SliceObject', 'slice')",11101
132,"('PickupObject', 'towards')",11087
133,"('PutObject', 'open')",10620
134,"('PutObject', 'apple')",10551
135,"('CleanObject', '')",10520
136,"('GotoLocation', 'door.')",10462
137,"('CleanObject', 'turn')",10437
138,"('PickupObject', 'coffee')",10424
139,"('PutObject', 'tomato')",10396
140,"('GotoLocation', 'bottle')",10377
141,"('GotoLocation', 'cut')",10327
142,"('GotoLocation', 'box')",10301
143,"('GotoLocation', 'grab')",10193
144,"('GotoLocation', 'wall')",10141
145,"('PutObject', 'side')",10017
146,"('PickupObject', 'close')",10009
147,"('PickupObject', 'top')",9902
148,"('PutObject', 'potato')",9826
149,"('GotoLocation', 'drawer')",9696
150,"('GotoLocation', 'lamp')",9461
151,"('GotoLocation', 'desk.')",9418
152,"('GotoLocation', 'straight')",9406
153,"('PutObject', 'towards')",9321
154,"('SliceObject', 'right')",9276
155,"('SliceObject', 'left')",9272
156,"('GotoLocation', 'you.')",9256
157,"('PickupObject', 'white')",9196
158,"('GotoLocation', 'stand')",9164
159,"('PickupObject', 'room')",9122
160,"('PickupObject', 'inside')",9025
161,"('GotoLocation', 'remove')",8908
162,"('GotoLocation', 'pot')",8893
163,"('GotoLocation', 'egg')",8754
164,"('ToggleObject', 'turn')",8746
165,"('PutObject', 'coffee')",8712
166,"('PickupObject', 'fridge.')",8689
167,"('PickupObject', 'bread')",8680
168,"('PutObject', 'top')",8635
169,"('PickupObject', 'pan')",8606
170,"('PutObject', 'close')",8411
171,"('GotoLocation', 'spoon')",8378
172,"('SliceObject', 'knife')",8328
173,"('PickupObject', 'cabinet')",8284
174,"('PickupObject', 'lettuce')",8262
175,"('GotoLocation', 'green')",8241
176,"('GotoLocation', 'look')",8119
177,"('PickupObject', 'toilet')",8013
178,"('PutObject', 'inside')",7947
179,"('PickupObject', 'two')",7946
180,"('PutObject', 'pan')",7898
181,"('GotoLocation', 'credit')",7876
182,"('PutObject', 'white')",7874
183,"('PutObject', 'cabinet')",7773
184,"('GotoLocation', 'chair')",7770
185,"('PickupObject', 'door')",7763
186,"('GotoLocation', 'card')",7743
187,"('PickupObject', 'black')",7712
188,"('PickupObject', 'microwave.')",7711
189,"('GotoLocation', 'keys')",7680
190,"('PutObject', 'two')",7652
191,"('GotoLocation', 'refrigerator.')",7538
192,"('PutObject', 'toilet')",7473
193,"('GotoLocation', 'behind')",7445
194,"('GotoLocation', 'bed')",7352
195,"('PickupObject', 'head')",7348
196,"('PutObject', 'room')",7339
197,"('PickupObject', 'plate')",7247
198,"('PutObject', 'fridge.')",7233
199,"('SliceObject', 'go')",7196
200,"('GotoLocation', 'glass')",7184
201,"('GotoLocation', 'piece')",7152
202,"('PutObject', 'lettuce')",7094
203,"('PickupObject', 'shelf')",7066
204,"('GotoLocation', 'small')",7052
205,"('GotoLocation', 'toilet.')",7047
206,"('GotoLocation', 'heat')",7033
207,"('PickupObject', 'kitchen')",7019
208,"('PutObject', 'bread')",6961
209,"('GotoLocation', 'corner')",6931
210,"('PickupObject', 'bowl')",6784
211,"('PutObject', 'black')",6754
212,"('HeatObject', 'left')",6720
213,"('PutObject', 'plate')",6703
214,"('GotoLocation', 'hang')",6687
215,"('GotoLocation', 'bin')",6653
216,"('CoolObject', 'left')",6634
217,"('PickupObject', 'desk')",6605
218,"('HeatObject', 'right')",6549
219,"('GotoLocation', 'couch')",6542
220,"('GotoLocation', 'paper')",6540
221,"('SliceObject', 'counter')",6540
222,"('HeatObject', 'microwave')",6538
223,"('PutObject', 'door')",6533
224,"('GotoLocation', 'sponge')",6437
225,"('CoolObject', 'right')",6374
226,"('PickupObject', 'across')",6359
227,"('SliceObject', 'put')",6332
228,"('GotoLocation', 'remote')",6320
229,"('PickupObject', 'stove')",6317
230,"('PickupObject', 'end')",6293
231,"('GotoLocation', 'phone')",6283
232,"('SliceObject', 'pick')",6237
233,"('PutObject', 'shelf')",6214
234,"('PutObject', 'microwave.')",6181
235,"('PutObject', 'kitchen')",6172
236,"('PutObject', 'bowl')",6172
237,"('PutObject', 'head')",6143
238,"('PickupObject', 'box')",6090
239,"('PickupObject', 'cup')",6080
240,"('PickupObject', 'step')",6077
241,"('PickupObject', 'stove.')",6058
242,"('GotoLocation', 'water')",5993
243,"('GotoLocation', 'chilled')",5989
244,"('GotoLocation', 'island')",5900
245,"('PickupObject', 'mug')",5854
246,"('GotoLocation', 'can.')",5813
247,"('GotoLocation', 'wash')",5796
248,"('CleanObject', 'right')",5738
249,"('PutObject', 'stove')",5681
250,"('GotoLocation', 'bottom')",5659
251,"('GotoLocation', 'clean')",5609
252,"('PutObject', 'stove.')",5580
253,"('PickupObject', 'right.')",5569
254,"('GotoLocation', 'dresser')",5552
255,"('PickupObject', 'it.')",5521
256,"('CleanObject', 'sink')",5468
257,"('PutObject', 'cup')",5432
258,"('SliceObject', 'walk')",5424
259,"('PickupObject', 'next')",5374
260,"('GotoLocation', 'chair.')",5359
261,"('GotoLocation', 'pencil')",5343
262,"('CleanObject', 'left')",5315
263,"('GotoLocation', 'fork')",5313
264,"('PickupObject', 'trash')",5300
265,"('PutObject', 'end')",5291
266,"('CoolObject', 'put')",5282
267,"('GotoLocation', 'bar')",5279
268,"('PutObject', 'box')",5253
269,"('SliceObject', 'around')",5250
270,"('PickupObject', 'soap')",5249
271,"('GotoLocation', 'spray')",5248
272,"('PutObject', 'across')",5232
273,"('GotoLocation', 'shelf.')",5217
274,"('GotoLocation', 'bed.')",5215
275,"('GotoLocation', 'blue')",5211
276,"('PutObject', 'step')",5199
277,"('PickupObject', 'left.')",5186
278,"('CoolObject', 'fridge')",5147
279,"('PickupObject', 'desk.')",5103
280,"('HeatObject', 'put')",5080
281,"('PutObject', 'desk')",5065
282,"('GotoLocation', 'steps')",5059
283,"('GotoLocation', 'carry')",5039
284,"('ToggleObject', '')",5019
285,"('PutObject', 'mug')",5009
286,"('PickupObject', 'bottle')",4992
287,"('PickupObject', 'refrigerator')",4974
288,"('GotoLocation', 'cabinet.')",4882
289,"('GotoLocation', 'dresser.')",4863
290,"('GotoLocation', 'couch.')",4855
291,"('GotoLocation', 'middle')",4840
292,"('CoolObject', 'walk')",4839
293,"('GotoLocation', 'chill')",4833
294,"('PickupObject', 'lamp')",4825
295,"('GotoLocation', 'towel')",4808
296,"('PutObject', 'it.')",4807
297,"('PickupObject', 'wall')",4797
298,"('SliceObject', 'place')",4760
299,"('PickupObject', 'grab')",4753
300,"('GotoLocation', 'near')",4730
301,"('CleanObject', 'put')",4727
302,"('PutObject', 'right.')",4710
303,"('GotoLocation', 'book')",4678
304,"('GotoLocation', 'tub.')",4665
305,"('PickupObject', 'spoon')",4639
306,"('PutObject', 'next')",4608
307,"('GotoLocation', 'pen')",4581
308,"('PickupObject', 'drawer')",4566
309,"('GotoLocation', 'salt')",4565
310,"('PutObject', 'bottle')",4552
311,"('GotoLocation', 'edge')",4539
312,"('GotoLocation', 'tub')",4528
313,"('GotoLocation', 'brown')",4519
314,"('GotoLocation', 'set')",4517
315,"('HeatObject', 'walk')",4514
316,"('GotoLocation', 'yellow')",4485
317,"('GotoLocation', 'bring')",4482
318,"('PutObject', 'soap')",4473
319,"('GotoLocation', 'loaf')",4453
320,"('PutObject', 'left.')",4437
321,"('GotoLocation', 'round')",4434
322,"('HeatObject', 'slice')",4427
323,"('PutObject', 'drawer')",4425
324,"('GotoLocation', 'wooden')",4420
325,"('PickupObject', 'pot')",4399
326,"('ToggleObject', 'lamp')",4396
327,"('PickupObject', 'stand')",4395
328,"('PutObject', 'trash')",4395
329,"('SliceObject', 'apple')",4370
330,"('PutObject', 'spoon')",4362
331,"('GotoLocation', 'candle')",4308
332,"('PickupObject', 'cut')",4301
333,"('GotoLocation', 'lamp.')",4273
334,"('PickupObject', 'credit')",4251
335,"('PickupObject', 'you.')",4247
336,"('GotoLocation', 'bin.')",4245
337,"('GotoLocation', 'roll')",4245
338,"('PickupObject', 'card')",4233
339,"('PickupObject', 'straight')",4224
340,"('GotoLocation', 'past')",4223
341,"('SliceObject', 'table')",4201
342,"('CleanObject', 'walk')",4184
343,"('PickupObject', 'keys')",4128
344,"('PickupObject', 'door.')",4122
345,"('GotoLocation', 'one')",4087
346,"('GotoLocation', 'heated')",4083
347,"('GotoLocation', 'shut')",4078
348,"('GotoLocation', 'tv')",4064
349,"('PutObject', 'desk.')",4046
350,"('SliceObject', 'potato')",4032
351,"('PutObject', 'refrigerator')",4026
352,"('SliceObject', 'tomato')",4025
353,"('PickupObject', 'chair')",4022
354,"('PutObject', 'pot')",4016
355,"('GotoLocation', 'butter')",4015
356,"('SliceObject', 'microwave')",3989
357,"('SliceObject', 'face')",3987
358,"('HeatObject', 'go')",3986
359,"('HeatObject', 'counter')",3981
360,"('PutObject', 'grab')",3956
361,"('GotoLocation', 'cross')",3954
362,"('GotoLocation', ""that's"")",3952
363,"('GotoLocation', 'facing')",3946
364,"('GotoLocation', 'spatula')",3907
365,"('PickupObject', 'green')",3881
366,"('PutObject', 'wall')",3881
367,"('GotoLocation', 'cook')",3879
368,"('CleanObject', 'pick')",3854
369,"('GotoLocation', 'to')",3838
370,"('GotoLocation', 'red')",3819
371,"('PickupObject', 'bed')",3803
372,"('GotoLocation', 'toward')",3798
373,"('GotoLocation', 'rag')",3777
374,"('HeatObject', 'around')",3775
375,"('CoolObject', 'go')",3758
376,"('PutObject', 'you.')",3735
377,"('HeatObject', 'pick')",3714
378,"('CoolObject', 'place')",3712
379,"('PutObject', 'cut')",3698
380,"('GotoLocation', 'closest')",3682
381,"('HeatObject', 'place')",3682
382,"('CoolObject', 'pick')",3650
383,"('GotoLocation', 'second')",3634
384,"('PickupObject', 'look')",3626
385,"('SliceObject', 'fridge')",3613
386,"('SliceObject', 'bread')",3609
387,"('PutObject', 'credit')",3607
388,"('GotoLocation', 'maker')",3599
389,"('CoolObject', 'around')",3582
390,"('PickupObject', 'glass')",3576
391,"('PutObject', 'card')",3571
392,"('GotoLocation', 'center')",3543
393,"('PutObject', 'straight')",3534
394,"('GotoLocation', 'maker.')",3534
395,"('PutObject', 'stand')",3517
396,"('PickupObject', 'couch')",3495
397,"('PickupObject', 'behind')",3490
398,"('CoolObject', 'counter')",3490
399,"('PutObject', 'keys')",3475
400,"('PutObject', 'door.')",3435
401,"('GotoLocation', 'sliced')",3435
402,"('GotoLocation', 'drawer.')",3427
403,"('PutObject', 'chair')",3417
404,"('PickupObject', 'phone')",3378
405,"('PickupObject', 'small')",3366
406,"('PickupObject', 'toilet.')",3362
407,"('GotoLocation', 'seconds')",3352
408,"('GotoLocation', 'room.')",3349
409,"('SliceObject', 'sink.')",3344
410,"('PickupObject', 'remote')",3320
411,"('CoolObject', 'slice')",3312
412,"('PickupObject', 'remove')",3308
413,"('GotoLocation', 'cooked')",3303
414,"('GotoLocation', 'stand.')",3295
415,"('PutObject', 'glass')",3281
416,"('GotoLocation', 'knife.')",3277
417,"('PickupObject', 'corner')",3274
418,"('PickupObject', 'paper')",3273
419,"('CleanObject', 'sink.')",3270
420,"('PutObject', 'green')",3266
421,"('HeatObject', 'apple')",3265
422,"('PutObject', 'paper')",3235
423,"('GotoLocation', 'floor')",3230
424,"('PickupObject', 'sponge')",3226
425,"('SliceObject', 'table.')",3221
426,"('SliceObject', 'counter.')",3211
427,"('ToggleObject', 'right')",3204
428,"('PickupObject', 'pencil')",3200
429,"('GotoLocation', 'cool')",3180
430,"('HeatObject', 'potato')",3172
431,"('PickupObject', 'egg')",3155
432,"('GotoLocation', 'sofa')",3132
433,"('GotoLocation', 'bread.')",3132
434,"('SliceObject', 'sink')",3121
