Src,Dst,
0,0,
0,6,
0,8,
0,9,
0,10,
0,11,
0,16,
0,17,
0,19,
0,22,
0,25,
0,26,
0,27,
0,30,
0,31,
0,33,
0,34,
0,36,
0,46,
0,51,
0,52,
0,53,
0,55,
0,57,
0,60,
0,63,
0,64,
0,66,
0,69,
0,73,
0,75,
0,76,
0,80,
0,88,
0,89,
0,91,
0,99,
0,101,
0,102,
1,1,
1,3,
1,6,
1,8,
1,9,
1,10,
1,11,
1,12,
1,16,
1,17,
1,18,
1,19,
1,20,
1,22,
1,23,
1,25,
1,26,
1,27,
1,30,
1,31,
1,32,
1,33,
1,35,
1,36,
1,37,
1,42,
1,43,
1,44,
1,45,
1,46,
1,49,
1,51,
1,52,
1,53,
1,54,
1,57,
1,58,
1,60,
1,61,
1,62,
1,63,
1,64,
1,66,
1,67,
1,69,
1,71,
1,73,
1,76,
1,80,
1,81,
1,82,
1,83,
1,88,
1,89,
1,90,
1,92,
1,93,
1,97,
1,99,
1,101,
1,102,
1,103,
3,1,
3,3,
3,8,
3,9,
3,10,
3,11,
3,16,
3,17,
3,19,
3,20,
3,22,
3,25,
3,26,
3,27,
3,30,
3,31,
3,33,
3,34,
3,46,
3,51,
3,52,
3,54,
3,55,
3,63,
3,64,
3,66,
3,69,
3,73,
3,75,
3,76,
3,80,
3,84,
3,88,
3,89,
3,101,
4,4,
4,9,
4,11,
4,16,
4,20,
4,22,
4,25,
4,26,
4,37,
4,44,
4,46,
4,60,
4,64,
4,73,
4,84,
4,89,
4,99,
4,101,
4,102,
6,0,
6,1,
6,6,
6,8,
6,9,
6,10,
6,11,
6,16,
6,17,
6,19,
6,20,
6,23,
6,24,
6,25,
6,26,
6,30,
6,31,
6,33,
6,37,
6,39,
6,44,
6,46,
6,51,
6,54,
6,55,
6,57,
6,61,
6,63,
6,64,
6,65,
6,66,
6,69,
6,72,
6,73,
6,74,
6,75,
6,76,
6,77,
6,79,
6,82,
6,84,
6,88,
6,89,
6,91,
6,93,
6,94,
6,96,
6,99,
6,100,
6,101,
6,102,
6,104,
8,0,
8,1,
8,3,
8,6,
8,8,
8,9,
8,10,
8,11,
8,12,
8,14,
8,16,
8,17,
8,18,
8,19,
8,20,
8,22,
8,23,
8,25,
8,26,
8,27,
8,30,
8,31,
8,32,
8,33,
8,34,
8,35,
8,36,
8,37,
8,41,
8,42,
8,43,
8,44,
8,45,
8,46,
8,47,
8,49,
8,51,
8,52,
8,53,
8,54,
8,55,
8,57,
8,58,
8,60,
8,61,
8,63,
8,64,
8,66,
8,69,
8,70,
8,73,
8,74,
8,75,
8,76,
8,77,
8,80,
8,81,
8,82,
8,83,
8,84,
8,88,
8,89,
8,90,
8,91,
8,92,
8,93,
8,94,
8,97,
8,99,
8,101,
8,102,
8,103,
8,104,
9,0,
9,1,
9,3,
9,4,
9,6,
9,8,
9,9,
9,10,
9,11,
9,12,
9,14,
9,16,
9,17,
9,18,
9,19,
9,20,
9,21,
9,22,
9,23,
9,25,
9,26,
9,27,
9,28,
9,30,
9,31,
9,32,
9,33,
9,34,
9,35,
9,36,
9,37,
9,41,
9,42,
9,43,
9,44,
9,45,
9,46,
9,49,
9,51,
9,52,
9,53,
9,54,
9,55,
9,57,
9,58,
9,59,
9,60,
9,61,
9,62,
9,63,
9,64,
9,65,
9,66,
9,67,
9,69,
9,70,
9,71,
9,73,
9,74,
9,75,
9,76,
9,78,
9,80,
9,81,
9,82,
9,83,
9,84,
9,85,
9,88,
9,89,
9,90,
9,91,
9,92,
9,93,
9,94,
9,96,
9,97,
9,99,
9,101,
9,102,
9,103,
9,104,
10,0,
10,1,
10,3,
10,6,
10,8,
10,9,
10,10,
10,11,
10,12,
10,14,
10,16,
10,17,
10,18,
10,19,
10,20,
10,21,
10,22,
10,23,
10,25,
10,26,
10,28,
10,29,
10,30,
10,31,
10,32,
10,33,
10,34,
10,35,
10,36,
10,37,
10,39,
10,41,
10,42,
10,43,
10,44,
10,45,
10,46,
10,49,
10,51,
10,52,
10,53,
10,54,
10,55,
10,57,
10,58,
10,60,
10,61,
10,62,
10,63,
10,64,
10,65,
10,66,
10,67,
10,69,
10,71,
10,72,
10,73,
10,74,
10,75,
10,76,
10,77,
10,78,
10,79,
10,80,
10,81,
10,82,
10,83,
10,84,
10,85,
10,88,
10,89,
10,90,
10,91,
10,92,
10,93,
10,94,
10,96,
10,97,
10,99,
10,100,
10,101,
10,102,
10,103,
10,104,
11,0,
11,1,
11,3,
11,4,
11,6,
11,8,
11,9,
11,10,
11,11,
11,12,
11,14,
11,16,
11,17,
11,18,
11,19,
11,20,
11,21,
11,22,
11,23,
11,25,
11,26,
