Src,Dst,
0,0,
1,1,
2,2,
0,3,
0,4,
3,5,
3,6,
0,7,
1,8,
1,9,
2,10,
1,11,
2,12,
1,13,
1,14,
1,15,
2,16,
0,18,
1,19,
1,20,
0,21,
1,22,
2,88,
1,23,
1,24,
1,25,
1,26,
0,27,
2,28,
1,87,
1,29,
1,30,
2,31,
1,32,
2,33,
0,34,
1,35,
1,36,
1,37,
3,39,
1,41,
1,42,
2,43,
1,44,
1,45,
1,46,
0,47,
1,49,
1,50,
1,51,
1,52,
1,53,
2,54,
2,55,
1,56,
1,57,
1,58,
1,60,
1,61,
1,62,
2,63,
1,64,
3,65,
0,66,
1,67,
1,68,
2,69,
1,70,
1,71,
3,72,
1,73,
3,74,
3,75,
2,89,
1,76,
1,77,
3,78,
1,79,
2,80,
1,81,
1,82,
3,83,
1,84,
1,85,
1,86,
0,90,
2,91,
0,92,
2,93,
1,94,
3,95,
3,96,
1,99,
3,100,
3,101,
2,102,
1,103,
2,104,
2,105,
1,106,
1,107,
