Src,Dst,
0,0,
0,5,
0,7,
0,8,
0,9,
0,11,
0,12,
0,15,
0,16,
0,19,
0,20,
0,25,
0,26,
0,27,
0,28,
0,30,
0,31,
0,33,
0,36,
0,46,
0,50,
0,51,
0,52,
0,53,
0,55,
0,56,
0,57,
0,60,
0,63,
0,64,
0,66,
0,67,
0,69,
0,73,
0,76,
0,80,
0,88,
0,89,
0,90,
0,91,
0,93,
0,100,
0,102,
0,103,
0,104,
0,106,
1,1,
1,2,
1,4,
1,5,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
1,21,
1,23,
1,25,
1,26,
1,27,
1,28,
1,30,
1,31,
1,32,
1,35,
1,36,
1,37,
1,38,
1,42,
1,43,
1,44,
1,45,
1,46,
1,49,
1,50,
1,51,
1,52,
1,53,
1,54,
1,56,
1,57,
1,58,
1,60,
1,61,
1,62,
1,63,
1,64,
1,66,
1,67,
1,68,
1,69,
1,71,
1,73,
1,76,
1,80,
1,81,
1,82,
1,83,
1,88,
1,90,
1,91,
1,92,
1,94,
1,95,
1,99,
1,100,
1,103,
1,104,
1,105,
1,106,
2,1,
2,2,
2,7,
2,8,
2,9,
2,11,
2,12,
2,15,
2,16,
2,19,
2,20,
2,21,
2,25,
2,26,
2,27,
2,28,
2,30,
2,31,
2,33,
2,46,
2,50,
2,51,
2,52,
2,54,
2,55,
2,56,
2,63,
2,64,
2,66,
2,67,
2,69,
2,73,
2,76,
2,80,
2,84,
2,88,
2,89,
2,90,
2,91,
2,102,
2,103,
2,106,
3,3,
3,4,
3,9,
3,12,
3,15,
3,20,
3,21,
3,25,
3,27,
3,37,
3,44,
3,46,
3,56,
3,60,
3,64,
3,66,
3,73,
3,84,
3,88,
3,91,
3,100,
3,103,
3,104,
3,106,
4,1,
4,3,
4,4,
4,9,
4,10,
4,12,
4,19,
4,20,
4,31,
4,46,
4,66,
4,73,
4,90,
4,100,
4,106,
5,0,
5,1,
5,5,
5,7,
5,8,
5,9,
5,11,
5,12,
5,15,
5,16,
5,19,
5,20,
5,21,
5,23,
5,24,
5,25,
5,26,
5,27,
5,30,
5,31,
5,37,
5,39,
5,44,
5,46,
5,50,
5,52,
5,54,
5,55,
5,56,
5,57,
5,61,
5,63,
5,64,
5,65,
5,66,
5,67,
5,69,
5,72,
5,73,
5,74,
5,76,
5,77,
5,79,
5,82,
5,84,
5,89,
5,90,
5,91,
5,93,
5,95,
5,96,
5,98,
5,100,
5,101,
5,103,
5,104,
5,106,
5,107,
7,0,
7,1,
7,2,
7,5,
7,7,
7,8,
7,9,
7,10,
7,11,
7,12,
7,13,
7,14,
7,15,
7,16,
7,17,
7,18,
7,19,
7,20,
7,21,
7,23,
7,25,
7,26,
7,27,
7,28,
7,30,
7,31,
7,32,
7,33,
7,34,
7,35,
7,36,
7,37,
7,38,
7,41,
7,42,
7,43,
7,44,
7,45,
7,46,
7,47,
7,49,
7,50,
7,51,
7,52,
7,53,
7,54,
7,55,
7,56,
7,57,
7,58,
7,60,
7,61,
7,63,
7,64,
7,66,
7,67,
7,69,
7,70,
7,73,
7,74,
7,76,
7,77,
7,80,
7,81,
7,82,
7,83,
7,84,
7,88,
7,89,
7,90,
7,91,
7,92,
7,93,
7,94,
7,95,
7,96,
7,99,
7,100,
7,102,
7,103,
7,104,
7,105,
7,106,
7,107,
8,0,
8,1,
8,2,
8,5,
8,7,
8,8,
8,9,
8,10,
8,11,
8,12,
8,13,
8,14,
8,15,
8,16,
8,17,
8,18,
8,19,
8,20,
8,21,
8,22,
8,23,
8,25,
